key,en,ru,ua,be
enter_login,Enter login,Ваш логин,Ваш логін,Ваш лагін
enter_pass,Enter password,Ваш пароль,Ваш пароль,Ваш пароль
login,Login,Вход,Вхід,Уваход
register,Register,Регистрация,Створити акаунт,Рэгістрацыя
repeat_pass,Repet password,Повтор пароля,Повтор пароля,Паутор пароля
play,Play,Бой,Бій,Бой
rooms,Rooms,Комнаты,Кімнати,Пакоі
garage,Garage,Гараж,Гараж,Гараж
create_room,Create Room,Создать комнату,Створити кімнату,Стварыць пакой
exit,Exit,Выход,Вихід,Вынахад
empty_rooms,The list of rooms is empty.,Список комнат пуст.,Список кімнат порожній.,Спіс пакояу пусты.
room_code,Paste ROOM Code,Код комнаты,Код кімнати,Код пакоя
join,join,Вход,Вхід,Уваход
weapon,weapon,Башни,Башти,Вежы
corpus,corpus,Корпуса,Корпуси,Карпусы
enter_room_name,Enter room name..,Введите имя комнаты,Введіть ім'я кімнати,Увядзіце імя пакоя
is_public,is public?,Публичная? ,Публічна?,Публічная?
time,Time:,Время:,Час:,Час:
players_count,Players count:,Кол-во игроков:,Кількість гравців:,Коль-ць гульцоу:
create,create,Создать комнату,Створити кімнату,Стварыць пакой
shadow_distance,Shadow Distance:,Длинна теней:,Довжина тіней:,Доугая ценяу:
grass,grass:,Трава:,Трава:,Трава:
mouse_sens,Mouse Sensivity:,Чувств. мыши:,Чутливість миші:,Пачуццяу. мышы:
sound_volume,Volume:,Громкость:,Гучність:,Гучнасць:
continue,continue,Продолжить,Продовжити,Працягнуць
suicide,suicide,Уничтожение,Знищення,Знішчэнне
exit_room,exit room,Выход,Вихід,Вынахад
name,name,Имя,Ім'я,Імя
kills,k,У,В,У
deaths,d,С,С,З
kd,k/d,У/С,У/С,У/З
restart_room,Restart room,Перезапуск,Перезапуск,Перазапуск
servers_list,Servers List,Список серверов ,Перелік серверів,Спіс серверау
guest,Play as a guest,Играть как гость,Грати як гость,Гуляць як госць
sugnup_signin,Sign in/Sign up,Войти/Регистр.,Вхід/Створити,Войти/Регистр.
error_web01,Login is so big..,Логин такой большой..,Логін такий великий..,Лагін такі вялікі.
error_web02,Login is so short..,Логин такой короткий..,Логін такий короткий..,Лагін такі кароткі.
error_web03,Password is so short..,Пароль такой короткий..,Пароль такий короткий..,Пароль такі кароткі.
error_web04,Passwords not equal,Пароли не равны!,Паролі не однакові!,Паролі не роуныя!
error_web05,Connection lost.,Ошибка подключения.,Ошибка підключення.,Памылка падключэння.
error_web06,Login or password error,Ошибка авторизации,Помилка авторизації,Памылка аутарызацыі